,phone,country,area,number,normalized
55f5726bb1c8a72c34504213,+49 351 8496290,49,351,8496290,+49 351 8496290
55f5726bb1c8a72c34504218,0351 8382880,,351,8382880,0351 8382880
55f5726cb1c8a72c34504cb1,+49 351 4016270,49,351,4016270,+49 351 4016270
55f5726db1c8a72c345058c1,+49 351 2571697,49,351,2571697,+49 351 2571697
55f5726db1c8a72c345058c2,+49 351 4011347,49,351,4011347,+49 351 4011347
55f5726eb1c8a72c34506d39,+49 351 2882328,49,351,2882328,+49 351 2882328
55f5726eb1c8a72c34506dbd,+49 351 8904620,49,351,8904620,+49 351 8904620
55f5726fb1c8a72c345072cf,+49 351 8019821,49,351,8019821,+49 351 8019821
55f5726fb1c8a72c34507502,+49 351 4716645,49,351,4716645,+49 351 4716645
55f57270b1c8a72c3450826f,+49 351 8807875,49,351,8807875,+49 351 8807875
55f57270b1c8a72c3450828f,+49 351 8045706,49,351,8045706,+49 351 8045706
55f57272b1c8a72c34509adb,004935183657990,4935183657990,,,+4935183657990 
55f57272b1c8a72c34509c79,+49 351 26353526,49,351,26353526,+49 351 26353526
55f57272b1c8a72c34509cb7,+49 351 8498771,49,351,8498771,+49 351 8498771
55f57273b1c8a72c3450a0af,+49 351 83715450,49,351,83715450,+49 351 83715450
55f57273b1c8a72c3450a0b0,+49 351 8301510,49,351,8301510,+49 351 8301510
55f57273b1c8a72c3450a7d3,+49 351 4611055,49,351,4611055,+49 351 4611055
55f57274b1c8a72c3450ae29,+49 351 207990,49,351,207990,+49 351 207990
55f57274b1c8a72c3450af71,+49 351 8805583,49,351,8805583,+49 351 8805583
55f57277b1c8a72c3450dab6,+49 351 899100,49,351,899100,+49 351 899100
55f57277b1c8a72c3450dd3e,+49 351 8804217,49,351,8804217,+49 351 8804217
55f57277b1c8a72c3450dd3f,+49 351 8807818,49,351,8807818,+49 351 8807818
55f57278b1c8a72c3450e50c,+49 351 8648233,49,351,8648233,+49 351 8648233
55f57278b1c8a72c3450e514,+49 351 84387243,49,351,84387243,+49 351 84387243
55f57278b1c8a72c3450e53a,+49 351 8590718,49,351,8590718,+49 351 8590718
55f57279b1c8a72c3450f03c,+49 351 8389501,49,351,8389501,+49 351 8389501
55f57279b1c8a72c3450f040,+49 351 8388813,49,351,8388813,+49 351 8388813
