,float,int,str,other
CATDIS,0.0,1.0,0.0,0.0
CEMT,0.0,0.0,0.0,5.0
FIXME,0.0,0.0,0.0,130.0
MCC,0.0,4.0,0.0,0.0
MNC,0.0,4.0,0.0,0.0
Name,0.0,0.0,0.0,1.0
WTWDIS,0.0,0.0,0.0,1.0
_id,0.0,0.0,0.0,1360188.0
abandoned,0.0,0.0,0.0,61.0
abutters,0.0,0.0,0.0,1.0
access,0.0,0.0,0.0,8652.0
access_ramp,0.0,0.0,0.0,1.0
address:city,0.0,0.0,0.0,80388.0
address:country,0.0,0.0,0.0,72867.0
address:door,0.0,521.0,0.0,3.0
address:housename,0.0,4.0,0.0,190.0
address:housenumber,0.0,72008.0,0.0,11797.0
address:housenumber_1,0.0,1.0,0.0,0.0
address:interpolation,0.0,0.0,0.0,65.0
address:phone,0.0,0.0,0.0,1.0
address:postcode,0.0,81015.0,0.0,0.0
address:room,0.0,1.0,0.0,0.0
address:state,0.0,0.0,0.0,133.0
address:street,0.0,0.0,0.0,84696.0
address:street_old,0.0,0.0,0.0,1.0
address:suburb,0.0,0.0,0.0,5804.0
admin_level,0.0,418.0,0.0,0.0
advertising,0.0,0.0,0.0,201.0
aerialway,0.0,0.0,0.0,10.0
aerodrome,0.0,0.0,0.0,1.0
aeroway,0.0,0.0,0.0,87.0
agricultural,0.0,0.0,0.0,16.0
airmark,0.0,0.0,0.0,4.0
alt_name,0.0,0.0,0.0,389.0
ambulance,0.0,0.0,0.0,12.0
amenity,0.0,0.0,0.0,15295.0
animal,0.0,0.0,0.0,6.0
animal_shelter,0.0,0.0,0.0,1.0
antiques,0.0,0.0,0.0,1.0
architect,0.0,0.0,0.0,4.0
area,0.0,0.0,0.0,493.0
art,0.0,0.0,0.0,2.0
artist,0.0,0.0,0.0,11.0
artist_name,0.0,0.0,0.0,49.0
artwork,0.0,0.0,0.0,1.0
artwork_type,0.0,0.0,0.0,119.0
asb,0.0,23.0,0.0,0.0
atm,0.0,0.0,0.0,103.0
attraction,0.0,0.0,0.0,80.0
audience,0.0,0.0,0.0,1.0
authorization,0.0,0.0,0.0,5.0
automated,0.0,0.0,0.0,7.0
automatic,0.0,0.0,0.0,1.0
baby,0.0,0.0,0.0,2.0
backrest,0.0,0.0,0.0,1910.0
bar,0.0,0.0,0.0,1.0
barrier,0.0,0.0,0.0,10354.0
basin,0.0,0.0,0.0,35.0
bdouble,0.0,0.0,0.0,511.0
beacon,0.0,0.0,0.0,12.0
beauty,0.0,0.0,0.0,13.0
beds,0.0,3.0,0.0,0.0
beer_garden,0.0,0.0,0.0,1.0
bell_tower,0.0,0.0,0.0,1.0
bench,0.0,0.0,0.0,1891.0
bic,0.0,0.0,0.0,6.0
bicycle,0.0,0.0,0.0,8801.0
bicycle_parking,0.0,0.0,0.0,717.0
biergarten,0.0,0.0,0.0,20.0
bike,0.0,0.0,0.0,1.0
bin,0.0,0.0,0.0,1584.0
biodip-member,0.0,0.0,0.0,3.0
bistro,0.0,0.0,0.0,1.0
board_type,0.0,0.0,0.0,84.0
boat,0.0,0.0,0.0,184.0
bollard,0.0,0.0,0.0,16.0
books,0.0,0.0,0.0,3.0
boundary,0.0,0.0,0.0,531.0
